title,total_prep_time,servings,ingredients,directions,rating,nutrition
World's Best Cream Cheese and Pineapple Dip,10 mins,24,"1 (8 ounce) package cream cheese, softened, 2 cups crushed pineapple, drained with juice reserved, 1 teaspoon onion powder, 2 cloves garlic, peeled and crushed","In a medium bowl, mix together cream cheese, crushed pineapple, onion powder and garlic. Mix in reserved juice from pineapple as desired. Chill in the refrigerator until serving.",4.2,"Total Fat 3g 4%, Saturated Fat 2g 11%, Cholesterol 10mg 3%, Sodium 28mg 1%, Total Carbohydrate 4g 1%, Dietary Fiber 0g 1%, Total Sugars 3g, Protein 1g, Vitamin C 2mg 10%, Calcium 11mg 1%, Iron 0mg 1%, Potassium 37mg 1%"
Precious Pineapple Cake,1 hrs 35 mins,12,"½ cup margarine, softened, 3 large eggs, 1 (18.25 ounce) package yellow cake mix, 1 (20 ounce) can crushed pineapple with juice, ½ cup chopped pecans","Preheat the oven to 350 degrees F (175 degrees C). Grease and flour three 8-inch round pans.
Cream margarine in a large bowl until smooth. Blend in eggs. Add cake mix and pineapple with juice; mix until smooth. Stir in pecans. Pour batter into the prepared pans.
Bake in the preheated oven until a toothpick inserted into the center comes out clean, 20 to 30 minutes. Cool cakes in pans on wire racks for 5 minutes. Run a table knife around the edges to loosen. Invert carefully onto cooling racks. Let cool completely, about 1 hour.
To make frosting: Beat margarine and cream cheese in a medium bowl until smooth. Gradually blend in the confectioners' sugar. Mix in pecans.
Spread frosting onto the cooled cake layers. Stack layers; frost top and sides.",4.5,"Total Fat 34g 44%, Saturated Fat 8g 42%, Cholesterol 68mg 23%, Sodium 532mg 23%, Total Carbohydrate 83g 30%, Dietary Fiber 2g 6%, Protein 6g, Vitamin C 5mg 24%, Calcium 99mg 8%, Iron 2mg 8%, Potassium 177mg 4%"
Sweet and Sour Chicken III,20 mins,4,"1 pound skinless, boneless chicken breast meat - cubed, 2 tablespoons vegetable oil, ½ cup sliced green bell pepper, ½ cup sliced red bell pepper, 1 cup carrot strips, 1 clove garlic, minced, 1 tablespoon cornstarch, ¼ cup low sodium soy sauce, 1 (8 ounce) can pineapple chunks, juice reserved, 1 tablespoon vinegar, 1 tablespoon brown sugar, ½ teaspoon ground ginger","Brown chicken in oil in a large skillet over medium high heat. Add green bell pepper, red bell pepper, carrot and garlic and stir fry for 1 to 2 minutes.
In a small bowl, combine cornstarch and soy sauce and mix together; pour mixture into the skillet, along with the pineapple and liquid, vinegar, sugar and ginger. Stir together and bring to a full boil.",4.4,"Total Fat 9g 12%, Saturated Fat 2g 8%, Cholesterol 59mg 20%, Sodium 603mg 26%, Total Carbohydrate 20g 7%, Dietary Fiber 2g 7%, Total Sugars 14g, Protein 24g, Vitamin C 31mg 157%, Calcium 37mg 3%, Iron 1mg 8%, Potassium 394mg 8%"
Ham and Pineapple Dinner,35 mins,4,"2 tablespoons butter, 2 ½ cups cooked and cubed ham, 2  green onions, chopped, 1 cup pineapple chunks, drained, 1 ⅓ cups pineapple juice, 4 teaspoons cider vinegar, 2 tablespoons brown sugar, 2 teaspoons prepared mustard, 2 tablespoons cornstarch","Melt the butter in a large skillet over medium heat. Saute the ham, onions and pineapple chunks in the butter for about 5 minutes.
In a separate medium bowl, combine the pineapple juice, vinegar, brown sugar, mustard and cornstarch. Stir this together well and pour over the ham mixture in the skillet. Stir well and allow to heat through and thicken, about 5 minutes.",4.3,"Total Fat 13g 16%, Saturated Fat 6g 30%, Cholesterol 65mg 22%, Sodium 1259mg 55%, Total Carbohydrate 32g 12%, Dietary Fiber 1g 3%, Total Sugars 25g, Protein 20g, Vitamin C 16mg 80%, Calcium 40mg 3%, Iron 2mg 11%, Potassium 540mg 11%"
White Peachy Sangria,8 hrs 30 mins,20,"4 (750 milliliter) bottles moscato wine, 4 (12 fluid ounce) cans or bottles lemon-lime soda (such as Sprite®), 1 cup brandy, 1 cup peach schnapps, 2  fresh peaches, pitted and sliced, 1 (16 ounce) package fresh strawberries, sliced, 2  mangos - peeled, seeded, and sliced, ½  fresh pineapple - peeled, cored, and cut into chunks, 1 (6 ounce) container fresh raspberries","Stir moscato wine, lemon-lime soda, brandy, peach schnapps, peaches, strawberries, mangos, pineapple chunks, and raspberries together in a large container and chill 8 hours or overnight.",4.9,"Total Fat 0g 0%, Sodium 24mg 1%, Total Carbohydrate 41g 15%, Dietary Fiber 2g 5%, Total Sugars 22g, Protein 1g, Vitamin C 30mg 148%, Calcium 23mg 2%, Iron 1mg 3%, Potassium 228mg 5%"
Pineapple Bread,1 hrs 20 mins,12,"2  eggs, ½ cup melted butter, 1 cup white sugar, 1 cup crushed pineapple with juice, 1 teaspoon vanilla extract, 2 ½ cups all-purpose flour, 3 teaspoons baking powder, ½ teaspoon baking soda, ¾ teaspoon salt, ½ cup chopped walnuts","Preheat oven to 350 degrees F (175 degrees C). Grease one 9x5x3 inch loaf pan.
Beat eggs slightly. Add butter and sugar. Beat smooth. Stir in pineapple and vanilla.
In separate bowl put flour, baking powder, soda, salt, and walnuts. Stir well and pour into pineapple mixture. Stir to moisten. Pour into greased 9x5x3 inch loaf pan.
Bake in 350 degree F (175 degree C) oven for 1 hour. Test with toothpick. Let stand 10 minutes. Remove from pan. Cool and wrap.",3.8,"Total Fat 12g 15%, Saturated Fat 6g 28%, Cholesterol 51mg 17%, Sodium 387mg 17%, Total Carbohydrate 41g 15%, Dietary Fiber 1g 4%, Total Sugars 20g, Protein 5g, Vitamin C 2mg 11%, Calcium 86mg 7%, Iron 2mg 9%, Potassium 90mg 2%"
Pineapple Glaze for Ham,15 mins,14,"1 (15.25 ounce) can sliced pineapple, drained with juice reserved, 1 (4 ounce) jar maraschino cherries, drained, 1 cup brown sugar","Before baking ham, place pineapple slices on ham with toothpicks and place cherries in center of pineapple.
In a medium microwave safe bowl combine brown sugar and reserved pineapple juice. Mix together and microwave for about 5 minutes, until mixture is thick. Pour some of this glaze over the ham about every 15 minutes in the last hour of baking, until all is used.",4.5,"Sodium 7mg 0%, Total Carbohydrate 24g 9%, Dietary Fiber 0g 1%, Total Sugars 21g, Vitamin C 3mg 16%, Calcium 14mg 1%, Iron 0mg 1%, Potassium 31mg 1%"
Sweet and Sour Pork Tenderloin,55 mins,4,"1 (1 1/4 pound) pork tenderloin, trimmed of silver skin,   salt and ground black pepper, ⅓ cup ketchup, ⅓ cup seasoned rice vinegar, 1 (8 ounce) can pineapple chunks, drained with juice reserved, 2 tablespoons brown sugar, 4 cloves garlic, minced, 2 teaspoons hot chili sauce (such as Sriracha®), 1 teaspoon soy sauce, 1 pinch red pepper flakes, 1 tablespoon vegetable oil, 1 teaspoon butter, ¼ cup chopped green onion (white part only), 2 tablespoons chopped green onion tops","Cut tenderloin into 4 pieces. Arrange in a single layer between two sheets of plastic wrap and pound with a meat mallet until each is about 1-inch thick. Generously season with salt and black pepper.
Whisk ketchup, rice vinegar, reserved pineapple juice, brown sugar, garlic, hot chili sauce, soy sauce, and red pepper flakes in a bowl. Set aside.
Heat vegetable oil in a skillet over high heat. Place pork in pan; reduce heat to medium. Cook until browned on both sides and cooked through, 5 to 6 minutes per side. Transfer to a plate.
Return skillet to medium heat. Stir butter into hot pan. When butter melts and starts to brown, stir in pineapple chunks. Cook, stirring, until pineapple is golden brown, 3 to 4 minutes.
Stir in ketchup mixture and 1/4 cup green onion (white parts). Reduce heat to low and simmer until garlic and onion have softened, 5 minutes.
Return pork to skillet; cook, stirring, until pork is heated through. Garnish with 2 tablespoons green onion tops.











Erin Marie
",4.6,"Total Fat 11g 15%, Saturated Fat 4g 19%, Cholesterol 82mg 27%, Sodium 515mg 22%, Total Carbohydrate 23g 8%, Dietary Fiber 1g 4%, Total Sugars 20g, Protein 26g, Vitamin C 12mg 62%, Calcium 35mg 3%, Iron 2mg 10%, Potassium 573mg 12%"
Cranberry JELL-O Salad,3 hrs 15 mins,12,"2 cups boiling water, 2 (0.3 ounce) packages sugar-free cherry-flavored gelatin mix (such as Jell-O®), 1 (16 ounce) can jellied cranberry sauce, 1 (20 ounce) can crushed pineapple, drained, ½ cup chopped pecans","Combine boiling water and gelatin mix in a bowl; stir until gelatin is dissolved. Stir in cranberry sauce and crushed pineapple.
Transfer to a large glass serving dish or 12 individual dishes. Sprinkle pecans over top.
Chill until set, 3 to 4 hours for individual dishes, or 4 hours to overnight for one large serving dish.",4.7,"Total Fat 3g 4%, Saturated Fat 0g 2%, Sodium 62mg 3%, Total Carbohydrate 23g 8%, Dietary Fiber 1g 4%, Total Sugars 21g, Protein 1g, Vitamin C 5mg 26%, Calcium 12mg 1%, Iron 0mg 2%, Potassium 86mg 2%"
Southern Pineapple Casserole,40 mins,12,"1 (20 ounce) can pineapple chunks, 6 tablespoons all-purpose flour, ½ cup white sugar, or to taste, 2 cups shredded sharp Cheddar cheese, 1 (20 ounce) can crushed pineapple, drained, 40  buttery round crackers (such as Ritz®), crushed, ½ cup butter, melted, or to taste","Preheat an oven to 350 degrees F (175 degrees C).
Drain pineapple chunks, reserving 1/4 cup of the juice. Transfer both chunks and juice into a large bowl.
Add flour, sugar, Cheddar cheese, and drained, crushed pineapple; mix to combine. Pour into a 1 1/2-quart casserole dish.
Mix cracker crumbs and melted butter in a small bowl; sprinkle over pineapple mixture.
Bake in the preheated oven until golden brown, about 30 minutes.",4.5,"Total Fat 26g 34%, Saturated Fat 15g 76%, Cholesterol 65mg 22%, Sodium 360mg 16%, Total Carbohydrate 42g 15%, Dietary Fiber 1g 4%, Total Sugars 31g, Protein 7g, Vitamin C 9mg 45%, Calcium 192mg 15%, Iron 1mg 6%, Potassium 145mg 3%"
Rosa Marina Fruit Salad,9 hrs,24,"1 (16 ounce) package Rosa Marina (orzo) pasta, 2 (15 ounce) cans mandarin oranges, drained and juice reserved, 1 (16 ounce) can pineapple chunks, drained with juice reserved, 1 (16 ounce) can crushed pineapple, drained and juice reserved, 1 (4 ounce) jar maraschino cherries, drained and halved, ¾ cup white sugar, 2  large eggs, 3 tablespoons all-purpose flour, 1 (16 ounce) container whipped topping (such as Cool Whip®)","Bring a large pot of lightly salted water to a boil. Cook orzo in the boiling water, stirring occasionally until cooked through but firm to the bite, about 11 minutes. Drain and transfer to a large bowl. Add mandarin oranges, pineapple chunks, crushed pineapple, and maraschino cherries to orzo.
Combine juice from mandarin oranges, juice from pineapple chunks, juice from crushed pineapple, sugar, eggs, and flour in a saucepan over low heat; cook, stirring often, until sauce is thickened, 5 to 7 minutes. Remove sauce from heat and cool, about 30 minutes.
Pour cooled sauce over orzo mixture and toss to coat. Refrigerate until flavors blend, 8 hours to overnight. Fold whipped topping into orzo mixture before serving.",4.6,"Total Fat 5g 7%, Saturated Fat 4g 22%, Cholesterol 16mg 5%, Sodium 20mg 1%, Total Carbohydrate 35g 13%, Dietary Fiber 1g 5%, Total Sugars 19g, Protein 4g, Vitamin C 16mg 78%, Calcium 16mg 1%, Iron 1mg 5%, Potassium 132mg 3%"
Hawaiian Chicken Kabobs,2 hrs 30 mins,8,"3 tablespoons soy sauce, 3 tablespoons brown sugar, 2 tablespoons sherry, 1 tablespoon sesame oil, ¼ teaspoon ground ginger, ¼ teaspoon garlic powder, 8  skinless, boneless chicken breast halves - cut into 2 inch pieces, 1 (20 ounce) can pineapple chunks, drained,   skewers","In a shallow glass dish, mix the soy sauce, brown sugar, sherry, sesame oil, ginger, and garlic powder. Stir the chicken pieces and pineapple into the marinade until well coated. Cover, and marinate in the refrigerator at least 2 hours.
Preheat grill to medium-high heat.
Lightly oil the grill grate. Thread chicken and pineapple alternately onto skewers. Grill 15 to 20 minutes, turning occasionally, or until chicken juices run clear.











lauralovinglife
",4.4,"Total Fat 4g 5%, Saturated Fat 1g 5%, Cholesterol 61mg 20%, Sodium 413mg 18%, Total Carbohydrate 17g 6%, Dietary Fiber 1g 2%, Total Sugars 15g, Protein 24g, Vitamin C 7mg 34%, Calcium 26mg 2%, Iron 1mg 6%, Potassium 257mg 5%"
Slow Cooker Tacos al Pastor,7 hrs 30 mins,10,"⅔ large pineapple - peeled, cored, and chopped into small chunks, 1 small white onion, quartered, 1  chipotle peppers in adobo sauce, or more to taste, 2  dried guajillo chiles, stemmed and seeded, or more to taste, 1  dried chile de arbol pepper, stemmed and seeded, or more to taste, 3 cloves garlic, halved, 1 tablespoon minced fresh oregano, ½ cup orange juice, 2 tablespoons white vinegar, 2 tablespoons achiote powder, 2 teaspoons salt, 1 teaspoon ground cumin, 1 teaspoon lime zest, or to taste, ½ teaspoon ground ancho chile powder, ¼ teaspoon freshly ground black pepper, 1 (3 pound) boneless pork loin, cubed","Place pineapple, onion, chipotle peppers plus 1 1/2 teaspoons adobo sauce, guajillo chiles, chile de arbol, garlic, and oregano in a food processor. Blend until smooth. Transfer to a bowl and add orange juice, vinegar, achiote powder, salt, cumin, lime zest, chile powder, and black pepper. Mix sauce well.
Place pork in a slow cooker and cover with the sauce. Cover and cook on Low until pork is very tender, 7 to 9 hours. Begin heating tortillas 35 to 40 minutes before pork is done.
Heat oil in a saucepan over high heat. Cook tortillas one at a time until brown spots appear, 30 seconds to 1 minute per side. Plate tortillas in stacks of two for each taco.
Shred pork using 2 forks; mix to coat with the sauce. Scoop pork onto tacos using a slotted spoon. Top each with a portion of pineapple, cilantro, and onion.",5,"Total Fat 14g 18%, Saturated Fat 5g 23%, Cholesterol 65mg 22%, Sodium 543mg 24%, Total Carbohydrate 43g 16%, Dietary Fiber 5g 19%, Total Sugars 15g, Protein 26g, Vitamin C 71mg 353%, Calcium 87mg 7%, Iron 2mg 12%, Potassium 1635mg 35%"
Hawaiian Pineapple Chicken,1 hrs 5 mins,6,"¼ cup butter, ⅓ cup ketchup, ¼ cup brown sugar, 2 teaspoons cornstarch, ¼ cup vinegar, 1 teaspoon salt, 1 teaspoon soy sauce, ½ teaspoon Worcestershire sauce, 1 (9 ounce) can crushed pineapple, 3 pounds assorted chicken pieces such as breasts, thighs, wings, and drumsticks","Preheat oven to 325 degrees F (165 degrees C).
Melt butter in a saucepan over medium heat; stir ketchup and brown sugar into melted butter, stirring to dissolve brown sugar. Whisk cornstarch into vinegar until smooth; pour into pan. Whisk constantly and add salt, soy sauce, and Worcestershire sauce to mixture; bring to a simmer. Cook until thickened, about 2 minutes. Stir pineapple into sauce.
Arrange chicken pieces in a 9x13-inch baking dish; pour pineapple sauce over chicken.
Bake until sauce is bubbling, chicken is browned, and the juices run clear, about 45 minutes. An instant-read meat thermometer inserted into the thickest part of a thigh should read at least 160 degrees F (70 degrees C).",4.1,"Total Fat 31g 40%, Saturated Fat 11g 57%, Cholesterol 162mg 54%, Sodium 776mg 34%, Total Carbohydrate 20g 7%, Dietary Fiber 0g 1%, Total Sugars 18g, Protein 39g, Vitamin C 6mg 31%, Calcium 37mg 3%, Iron 2mg 13%, Potassium 460mg 10%"
BBQ Teriyaki Pork Kabobs,3 hrs 50 mins,6,"3 tablespoons soy sauce, 3 tablespoons olive oil, 1 clove garlic, minced, ½ teaspoon crushed red pepper flakes,   salt and pepper to taste, 1 pound boneless pork loin, cut into 1 inch cubes, 1 (14.5 ounce) can low-sodium beef broth, 2 tablespoons cornstarch, 2 tablespoons soy sauce, 1 tablespoon brown sugar, 2 cloves garlic, minced, ¼ teaspoon ground ginger, 3  portobello mushrooms, cut into quarters, 1 large red onion, cut into 12 wedges, 12  cherry tomatoes, 12 bite-size chunks fresh pineapple","In a shallow dish, mix together 3 tablespoons soy sauce, olive oil, 1 clove minced garlic, red pepper flakes, salt, and pepper. Add pork cubes, and turn to coat evenly with marinade. Cover, and refrigerate for 3 hours.
In a saucepan, combine beef broth, cornstarch, 2 tablespoons soy sauce, brown sugar, 2 cloves minced garlic, and ginger. Bring to a boil, stirring constantly. Reduce heat, and simmer 5 minutes.
Preheat an outdoor grill for high heat and lightly oil grate. Thread pork cubes onto skewers, alternating with mushrooms, onion, tomatoes, and pineapple chunks.
Cook on grill for 15 minutes, or until meat is cooked through. Turn skewers, and baste often with sauce during cooking.",4.5,"Total Fat 17g 22%, Saturated Fat 4g 22%, Cholesterol 48mg 16%, Sodium 867mg 38%, Total Carbohydrate 18g 6%, Dietary Fiber 2g 8%, Total Sugars 8g, Protein 19g, Vitamin C 25mg 124%, Calcium 40mg 3%, Iron 2mg 10%, Potassium 789mg 17%"
Air Fryer Roasted Pineapple,20 mins,2,1  fresh pineapple,"Preheat the air fryer to 375 degrees F (190 degrees C). Line the air fryer basket with parchment paper.
Core pineapple using a pineapple corer or slicer and slice into rings. Place pineapple rings into the prepared basket.
Air fry until slices start to roast, 8 to 10 minutes. Flip slices over and air fry an additional 3 to 5 minutes.",4.7,"Total Fat 1g 1%, Saturated Fat 0g 1%, Sodium 7mg 0%, Total Carbohydrate 89g 33%, Dietary Fiber 10g 34%, Total Sugars 67g, Protein 4g, Vitamin C 326mg 1,629%, Calcium 89mg 7%, Iron 2mg 11%, Potassium 743mg 16%"
Green Papaya Salad,20 mins,6,"3 cloves garlic, peeled, 3  Thai green chiles, 6  green beans, cut into 1 inch pieces, 1 large unripe papaya, peeled and cut into thin strips, 1  tomato, halved and seeded, 2 tablespoons fish sauce, 2 tablespoons lime juice, 1 teaspoon palm sugar, 2 tablespoons finely chopped unsalted, dry-roasted peanuts","Combine garlic, chiles, and green beans into a mortar and pound roughly. Add the papaya and pound again, to bruise the ingredients. Stir in fish sauce, lime juice, and sugar and pound again. Ad the tomato and pound to combine. Stir in the chopped peanuts and serve.
If you don't have a mortar and pestle, you can make a version of this in your blender or food processor: coarsely chop the garlic, chile peppers, and green beans. Mix in the papaya, and pulse a few times. Mix in the tomato, fish sauce, lime juice, and sugar. Pulse to combine; salad should still have texture. Transfer to a serving dish and stir in the peanuts.",4,"Total Fat 2g 2%, Saturated Fat 0g 1%, Sodium 368mg 16%, Total Carbohydrate 7g 3%, Dietary Fiber 1g 5%, Total Sugars 4g, Protein 2g, Vitamin C 32mg 161%, Calcium 20mg 2%, Iron 0mg 2%, Potassium 201mg 4%"
Mango Papaya Salsa,45 mins,8,"1  mango - peeled, seeded and diced, 1  papaya - peeled, seeded and diced, 1 large red bell pepper, seeded and diced, 1  avocado - peeled, pitted and diced, ½  sweet onion, peeled and diced, 2 tablespoons chopped fresh cilantro, 2 tablespoons balsamic vinegar,   salt and pepper to taste","In a medium bowl, mix mango, papaya, red bell pepper, avocado, sweet onion, cilantro, and balsamic vinegar. Season with salt and pepper. Cover, and chill in the refrigerator at least 30 minutes before serving.",4.7,"Total Fat 4g 5%, Saturated Fat 1g 3%, Sodium 5mg 0%, Total Carbohydrate 11g 4%, Dietary Fiber 3g 11%, Total Sugars 7g, Protein 1g, Vitamin C 49mg 245%, Calcium 15mg 1%, Iron 0mg 2%, Potassium 274mg 6%"
Fruit Batido,10 mins,6,"1 (12 fluid ounce) can evaporated milk, 1 cup chopped papaya, ¼ cup white sugar, or more to taste, 1 teaspoon vanilla extract, 1 pinch ground cinnamon, 1 tray ice cubes","Blend milk, papaya, sugar, vanilla extract, and cinnamon together in a blender until smooth; add ice and blend until slushy.",4,"Total Fat 5g 6%, Saturated Fat 3g 15%, Cholesterol 18mg 6%, Sodium 69mg 3%, Total Carbohydrate 17g 6%, Dietary Fiber 1g 2%, Total Sugars 16g, Protein 4g, Vitamin C 16mg 78%, Calcium 174mg 13%, Iron 0mg 1%, Potassium 253mg 5%"
Papaya Surprise Smoothie,10 mins,2,"1  papaya - peeled, seeded and diced, 1  banana, peeled and sliced, ½ cup sliced fresh strawberries, ⅓ cup milk, ¼ cup sugar, 15  ice cubes","In a blender, blend the papaya, banana, strawberries, milk, sugar, and ice cubes until smooth.",4.3,"Total Fat 1g 2%, Saturated Fat 1g 3%, Cholesterol 3mg 1%, Sodium 25mg 1%, Total Carbohydrate 55g 20%, Dietary Fiber 4g 15%, Total Sugars 43g, Protein 3g, Vitamin C 79mg 394%, Calcium 82mg 6%, Iron 1mg 3%, Potassium 600mg 13%"
Grilled Macadamia-Crusted Tuna with Papaya Salsa,50 mins,4,"2 cups diced papaya, ½  red onion, diced, 1  red bell pepper, diced, ¼ cup chopped fresh cilantro, 2 tablespoons lime juice, 1 clove garlic, minced, ¼ teaspoon hot chile paste, or to taste, 4 (6 ounce) tuna steaks, ¼ cup extra-virgin olive oil,   salt and pepper to taste, 3  eggs, ½ cup chopped macadamia nuts","Combine the papaya, onion, and red pepper in a bowl. Add the cilantro, lime juice, garlic, and hot chile paste. Toss to combine, then refrigerate until ready to serve.
Preheat an outdoor grill for high heat, and lightly oil grate.
Brush the tuna steaks with olive oil, then season with salt and pepper. Whisk the eggs in a shallow bowl until smooth. Dip the tuna steaks in the egg, and allow excess egg to run off. Press into the macadamia nuts.
Cook the tuna steaks on the preheated grill to your desired degree of doneness, about 2 minutes per side for medium. Serve with the papaya salsa.",4.8,"Total Fat 32g 42%, Saturated Fat 6g 29%, Cholesterol 219mg 73%, Sodium 124mg 5%, Total Carbohydrate 14g 5%, Dietary Fiber 4g 13%, Total Sugars 7g, Protein 45g, Vitamin C 87mg 436%, Calcium 110mg 8%, Iron 4mg 21%, Potassium 1096mg 23%"
Papaya Bread,2 hrs 30 mins,10,"2 large ripe papayas, 2 ½ cups all-purpose flour, 2 tablespoons poppy seeds, 1 teaspoon baking soda, 1 teaspoon salt, 1 ¼ cups white sugar, ½ cup unsalted butter, softened, 2 large eggs, ½ cup buttermilk, ½ cup guava juice, 1 tablespoon vanilla extract","Preheat the oven to 350 degrees F (175 degrees C). Grease a 9x5-inch loaf pan.
Slice papayas in half lengthwise. Scoop out black seeds and discard. Peel and discard skin. Place flesh in a bowl and mash. Transfer to a strainer and allow to sit for 10 minutes to drain any liquid.
Combine flour, poppy seeds, baking soda, and salt in a bowl. Cream sugar and butter together in a separate bowl. Mix in eggs, one at a time, until well blended. Mix in papaya flesh, buttermilk, guava juice, and vanilla. Slowly stir in dry ingredients until just moistened. Pour into the prepared loaf pan.
Bake in the preheated oven until a toothpick inserted in the center comes out clean, about 1 hour 15 minutes. Cool in the pan for 10 minutes, then release loaf from the pan onto a wire rack. Let cool completely, about 30 minutes, before slicing.",4,"Total Fat 11g 15%, Saturated Fat 6g 32%, Cholesterol 62mg 21%, Sodium 389mg 17%, Total Carbohydrate 56g 20%, Dietary Fiber 2g 6%, Total Sugars 30g, Protein 6g, Vitamin C 27mg 136%, Calcium 62mg 5%, Iron 2mg 11%, Potassium 190mg 4%"
Papaya Bruschetta,20 mins,8,"1 small papaya, 5 medium Roma (plum) tomatoes, diced, ½ medium red onion, diced, 1 medium red bell pepper, seeded and diced, ¼ cup chopped fresh basil leaves, 2 tablespoons white sugar, ¼ cup red wine vinegar, ¼ cup vegetable oil, ½ teaspoon mustard powder, 2 stalks green onions, chopped, 1 (16 inch) French baguette, cut into 1/2 inch pieces","Cut papaya in half and remove seeds. Reserve 2 tablespoons of seeds for the dressing. Peel and dice the papaya, and place in a medium bowl. Add tomatoes, red onion, red pepper and basil, and set aside.
In a food processor or blender, combine the papaya seeds, sugar, wine vinegar, oil, mustard and green onions. Process until smooth and thick, and most of the seeds have broken up. Pour over the papaya mixture and stir to coat all of the ingredients. Serve with slices of baguette.",4.6,"Total Fat 8g 10%, Saturated Fat 1g 7%, Sodium 373mg 16%, Total Carbohydrate 41g 15%, Dietary Fiber 3g 10%, Total Sugars 8g, Protein 8g, Vitamin C 38mg 189%, Calcium 42mg 3%, Iron 2mg 13%, Potassium 280mg 6%"
Tropical Island Fruit Salad,30 mins,14,"1  pineapple - peeled, cored, and cut into 1/2-inch cubes, 2  mangos - peeled, pitted, and cut into small cubes, 2  papayas - halved lengthwise, seeded, peeled, and cut into 1/2-inch cubes, 3  bananas, sliced","Toss pineapple, mangos, papayas, and bananas together in a large bowl.",5,"Total Fat 0g 0%, Saturated Fat 0g 1%, Sodium 2mg 0%, Total Carbohydrate 24g 9%, Dietary Fiber 3g 10%, Total Sugars 17g, Protein 1g, Vitamin C 69mg 344%, Calcium 22mg 2%, Iron 0mg 2%, Potassium 289mg 6%"
Pawpaw (Papaya) And Mango Punch,10 mins,8,"1 cup sliced mango, 1 cup diced, peeled papaya, 1 cup orange juice, ¼ cup lime juice, ¼ cup white sugar, or to taste, 1 teaspoon grated orange zest, 4 cups water","Place the mango and papaya into a blender. Cover, and puree until smooth; add the orange juice, lime juice, sugar, orange zest, and water. Blend well. Serve over crushed ice.",5,"Total Fat 0g 0%, Sodium 5mg 0%, Total Carbohydrate 15g 6%, Dietary Fiber 1g 3%, Total Sugars 13g, Protein 1g, Vitamin C 35mg 174%, Calcium 15mg 1%, Iron 0mg 1%, Potassium 150mg 3%"
Green Papaya Salad (Som Tam Malakor),35 mins,2,"¼ cup peanuts, 2  Thai chiles, chopped, 3 cloves garlic, 1 tablespoon dried shrimp, 1 tablespoon white sugar, 2 medium limes, juiced, 2 tablespoons fish sauce, 1 medium papaya - peeled, seeded, and sliced, 1 cup cherry tomatoes, halved, ¼ cup fresh green beans, cut into 1-inch pieces, ½ medium carrot, peeled and shredded,   salt and ground black pepper to taste","Preheat the oven to 350 degrees F (175 degrees C). Place peanuts on a baking sheet.
Toast in the preheated oven until fragrant and browned, 7 to 8 minutes. Let cool for 5 minutes.
Grind roasted peanuts, Thai chilies, garlic, dried shrimp, and sugar in a mortar and pestle or food processor. Stir in lime juice and fish sauce to make dressing.
Toss papaya, tomatoes, green beans, and carrot with dressing. Season with salt and pepper.",4,"Total Fat 10g 13%, Saturated Fat 1g 7%, Cholesterol 5mg 2%, Sodium 1126mg 49%, Total Carbohydrate 37g 14%, Dietary Fiber 7g 26%, Total Sugars 17g, Protein 9g, Vitamin C 197mg 985%, Calcium 89mg 7%, Iron 2mg 12%, Potassium 855mg 18%"
Papaya Boats,15 mins,4,"1 cup fat-free plain yogurt, ¼ cup walnuts, ¼ cup raisins, 1 cup chopped fresh strawberries, 2  medium papayas, cut in half lengthwise and seeded, 2 tablespoons honey","In a bowl, mix the yogurt, walnuts, and raisins. Fold in the strawberries. Spoon the mixture into the centers of the papaya halves. Drizzle with honey to serve.",4.4,"Total Fat 5g 7%, Saturated Fat 1g 3%, Cholesterol 1mg 0%, Sodium 52mg 2%, Total Carbohydrate 33g 12%, Dietary Fiber 3g 11%, Total Sugars 26g, Protein 6g, Vitamin C 73mg 366%, Calcium 160mg 12%, Iron 1mg 4%, Potassium 537mg 11%"
Mango Papaya Fruit Salad,1 hrs 20 mins,8,"¼ cup freshly squeezed lime juice, ¼ cup honey, 1 tablespoon finely grated lime zest, 1 tablespoon balsamic vinegar, 1 tablespoon brown sugar, 2  mangos, peeled and diced, or to taste, 1 large papaya, peeled and diced","Whisk lime juice, honey, lime zest, balsamic vinegar, and brown sugar together in a small bowl.
Place mangos and papaya in a large bowl. Stir lime dressing again and pour over fruit. Lightly stir fruit and dressing, cover, and refrigerate for 1 hour.",4,"Total Fat 0g 0%, Sodium 3mg 0%, Total Carbohydrate 20g 7%, Dietary Fiber 1g 5%, Total Sugars 18g, Protein 0g, Vitamin C 29mg 146%, Calcium 14mg 1%, Iron 0mg 1%, Potassium 142mg 3%"
Mexican Green Papaya Salad,50 mins,6,"¼ cup chopped fresh cilantro, or to taste, 3 cloves garlic, minced, or more to taste, 2  limes, juiced, 2 tablespoons olive oil, 1 tablespoon brown sugar, 1 pinch chili powder, or more to taste (Optional),   salt to taste","Blend cilantro, garlic, lime juice, olive oil, brown sugar, chili powder, and salt in a blender until smooth.
Toss shredded papaya, black beans, corn, and red bell pepper together in a large mixing bowl; add dressing and toss to coat.
Cover bowl with plastic wrap and refrigerate at least 30 minutes.",3.3,"Total Fat 5g 7%, Saturated Fat 1g 4%, Sodium 314mg 14%, Total Carbohydrate 27g 10%, Dietary Fiber 8g 28%, Total Sugars 5g, Protein 6g, Vitamin C 39mg 197%, Calcium 50mg 4%, Iron 2mg 12%, Potassium 433mg 9%"
